,,,,,Input,,,,,,,,,,,,,,,Synthesis,,Objective 1,Objective 2,,,Objective 3
Synthesis number,Formula,MW for secondary element,MW for the third element,MW for the forth element,Precursor 1,amount of precursor 1 (mmol),Precursor 2,amount of precursor 2 (mmol),Precursor 3,amount of precursor 3 (mmol),Precursor 4,amount of precursor 4 (mmol),C2H6O amount (mL),H2O amount (mL),Gelation agent,amount (mL),Anneal temp,Annealing time (h),Wash with Actone and H2O,XRD file number,Synthesis,OP (10mA/cm2),ICP-2h (%),1h voltage ,2h voltage ,ICP-2h (%)
0330-7,Ru0.5Au0.5,196.96657,,,RuCl3,0.3375,AuHCl4,0.3375,,,,,1,0,CH3CHCH2O,0.5,600,2,0,0330-7,C,188,6.0752928,1.2654761,1.2661762,2.556169776
0330-8,Ru0.5Sb0.5,121.76,,,RuCl3,0.3375,SbCl3,0.3375,,,,,1,0,CH3CHCH2O,0.5,600,2,0,28,H,N,,,,
0403-1,Ru0.5Mn0.5,54.938,,,RuCl3,0.3375,Mn(NO3)2,0.3375,,,,,1,0,CH3CHCH2O,0.5,,,0,,N,,,,,
0403-2,Ru0.5Bi0.5,208.98,,,RuCl3,0.3375,BiCl3,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,29,H,191,0.552181656,1.2711093,1.2698382,
0403-3,Ru0.5Re0.5,186.207,,,RuCl3,0.3375,ReCl5,0.3375,,,,,1,0,CH3CHCH2O,0.5,,,0,,N,,,,,
0403-4,Ru0.5Rh0.5,102.9055,,,RuCl3,0.3375,RhCl3,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,30,C,405,0.118251602,1.6006906,1.6006906,0.110794371
0403-5,Ru0.5Pb0.5,207.2 ,,,RuCl3,0.3375,PbCl2,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,31,H,260,,,,
0403-6,Ru0.5K0.5,39.0983,,,RuCl3,0.3375,KCl,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,32,C,213,0.455211073,1.4151636,1.4305638,0.433128329
0410-1,Ru0.75Li0.25,6.941,,,RuCl3,0.50625,LiCl,0.16875,,,,,1,0,CH3CHCH2O,0.5,400,2,0,33,C,143,2.775233112,1.2431653,1.240909,
0410-2,Ru0.75Ti0.25,47.867,,,RuCl3,0.50625,[(CH3)2CHO]2Ti(C5H7O2)2,0.16875,,,,,1,0,CH3CHCH2O,0.5,,,0,,N,,,,,
0410-4,Ru0.75Sn0.25,118.71,,,RuCl3,0.50625,SnCl2,0.16875,,,,,1,0,CH3CHCH2O,0.5,400,2,0,35,C,290,0.754894627,1.5919973,1.5919973,0.78606517
0410-6,Ru0.75Re0.25,186.207,,,RuCl3,0.50625,ReCl5,0.16875,,,,,1,0,CH3CHCH2O,0.5,,,0,,N,,,,,
0410-7,Ru0.75Pt0.25,195.084,,,RuCl3,0.50625,PtCl2,0.16875,,,,,1,0,CH3CHCH2O,0.5,,,0,,N,,,,,
0410-8,Ru0.5Na0.5,22.989769,,,RuCl3,0.3375,NaCl,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,37,C,177,1.09060161,1.2446362,1.2473654,
0410-9,Ru0.5Mg0.5,24.305,,,RuCl3,0.3375,MgCl2,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,38,C,175,,,,
0417-1,Co0.75Li0.25,58.933,6.941,,CoCl2,2.025,LiCl,0.675,,,,,4,0,CH3CHCH2O,2,400,2,0,41,H,N,,,,
0417-2,Co0.75Mn0.25,58.933,54.938,,CoCl2,2.025,Mn(NO3)2,0.675,,,,,4,0,CH3CHCH2O,2,,,0,,N,,,,,
0417-3,Ru0.75Na0.25,22.989769,,,RuCl3,0.50625,NaCl,0.16875,,,,,1,0,CH3CHCH2O,0.5,400,2,0,42,C,163,0.557212137,1.2428296,1.2460818,
0417-4,Ru0.85Li0.15,6.941,,,RuCl3,0.57375,LiCl,0.10125,,,,,1,0,CH3CHCH2O,0.5,400,2,0,43,C,174,1.674334249,1.2590529,1.2658799,
0417-5,Ru0.75Cr0.25,51.9961,,,RuCl3,0.50625,Cr(NO3)3,0.16875,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,C,173,1.213054277,1.2587285,1.2618506,
0428-1,Ru0.5Ba0.5,137.327,,,RuCl3,0.3375,BaCl2,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,45,H,206,0.71548191,1.3069435,1.317893,0.394248461
0428-2,Ru0.5Ag0.5,107.8682,,,RuCl3,0.3375,AgNO3,0.3375,,,,,1,0,CH3CHCH2O,0.5,,,0,,N,,,1.5078691,1.4943861,
0428-3,Ru0.51K0.49,39.0983,,,RuCl3,0.50625,KCl,0.496,,,,,1,0,CH3CHCH2O,0.5,400,2,0,46,H,178,0.534504811,1.2667274,1.2681656,0.461337627
0428-5,Ru0.75Cs0.25,132.90545,,,RuCl3,0.50625,CsCl,0.16875,,,,,1,0,CH3CHCH2O,0.5,400,2,0,48,H,157,0.406471509,1.2445353,1.2467768,0.317580237
0428-6,Ru0.66K0.34,39.0983,,,RuCl3,0.57375,KCl,0.298,,,,,1,0,CH3CHCH2O,0.5,400,2,0,49,H,186,0.330013579,1.2760963,1.2792429,0.348886177
0428-7,Ru0.85Rb0.15,85.4678,,,RuCl3,0.57375,RbCl,0.10125,,,,,1,0,CH3CHCH2O,0.5,400,2,0,50,H,167,0.586106679,1.2553266,1.2564576,0.523111511
0428-8,Ru0.85Cs0.15,132.90545,,,RuCl3,0.57375,CsCl,0.10125,,,,,1,0,CH3CHCH2O,0.5,400,2,0,51,H,170,0.314174288,1.2552911,1.2576678,0.283418697
0428-9,Ru0.85Na0.15,22.989769,,,RuCl3,0.57375,NaCl,0.10125,,,,,1,0,CH3CHCH2O,0.5,400,2,0,52,C,168,0.327124242,1.2508816,1.2529711,
0428-10,Ru0.5Zn0.5,65.38,,,RuCl3,0.3375,ZnCl2,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,65,H,207,0.101635924,1.3078249,1.3104284,0.076016647
0502-2,Ru0.5Ir0.5,192.217,,,RuCl3,0.3375,(NH4)2IrCl6,0.3375,,,,,1,0,CH3CHCH2O,0.5,,,0,,N,,,,,
0511-1,Ru0.25Ba0.75,137.327,,,RuCl3,0.16875,BaCl2,0.50625,,,,,1,0,CH3CHCH2O,0.5,,,0,,N,,,,,
0511-2,Ru0.25Na0.75,22.989769,,,RuCl3,0.16875,NaCl,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,68,C,209,0.767170515,1.3505044,1.3648108,0.792237029
0511-3,Ru0.25Cr0.75,51.996,,,RuCl3,0.16875,Cr(NO3)3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,69,C,461,9.766525378,1.5999843,1.5999843,7.361558558
0511-4,Ru0.25Mn0.75,54.938,,,RuCl3,0.16875,Mn(NO3)2,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,70,H,N,,,,
0511-5,Ru0.25Sn0.75,118.71,,,RuCl3,0.16875,SnCl2,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,N,,,,,
0511-6,Ru0.25Ta0.75,180.94788,,,RuCl3,0.16875,TaCl5,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,N,,,,,
0511-7,Ru0.25Mg0.75,24.305,,,RuCl3,0.16875,MgCl2,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,71,C,N,,,,
0511-8,Ru0.25Mo0.75,95.95,,,RuCl3,0.16875,MoCl5,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,72,H,310,3.823013951,1.4595062,1.5939832,4.144749961
0511-9,Ru0.25Zr0.75,91.224,,,RuCl3,0.16875,ZrCl4,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,73,C,N,,,,
0512-1,Ru0.25Er0.75,167.259,,,RuCl3,0.16875,ErCl2,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,74,C,N,,,,
0512-2,Ru0.25Hf0.75,178.49,,,RuCl3,0.16875,HfCl5,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,75,C,N,,,,
0512-3,Ru0.25Y0.75,88.90584,,,RuCl3,0.16875,YCl3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,76,C,251,,,,
0512-4,Ru0.25Ca0.75,40.078,,,RuCl3,0.16875,CaCl2,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,53,C,258,3.065455625,1.589782,1.589782,2.496553858
0512-6,Ru0.25Cu0.75,63.546,,,RuCl3,0.16875,CuCl2,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,54,C,217,0.231346783,1.3585523,1.3604089,0.23732607
0512-7,Ru0.25Nd0.75,144.242,,,RuCl3,0.16875,NdCl3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,55,C,637,,,,
0512-8,Ru0.25Pd0.75,106.42,,,RuCl3,0.16875,PdCl2,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,56,H,164,,,,
0512-9,Ru0.25Au0.75,196.96657,,,RuCl3,0.16875,AuHCl4,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,H,,,,,
0512-10,Ru0.25Rh0.75,102.9055,,,RuCl3,0.16875,RhCl3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,N,,,,,
0515-1,Ru0.25Bi0.75,208.98,,,RuCl3,0.16875,BiCl3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,N,,,,,
0515-2,Ru0.25W0.75,183.84,,,RuCl3,0.16875,WCl6,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,57,C,N,,,,
0515-3,Ru0.25Rb0.75,85.4678,,,RuCl3,0.16875,RbCl,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,58,H,226,,,,
0515-4,Ru0.25La0.75,138.91,,,RuCl3,0.16875,LaCl3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,59,C,N,,,,
0515-5,Ru0.25Sb0.75,121.76,,,RuCl3,0.16875,SbCl3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,N,,,,,
0515-6,Ru0.25K0.75,39.0983,,,RuCl3,0.16875,KCl,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,60,C,262,0.916065278,1.5947279,1.5947279,0.568073167
0515-7,Ru0.25Cs0.75,132.90545,,,RuCl3,0.16875,CsCl,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,,,,,,
0515-8,Ru0.25Sr0.75,87.62,,,RuCl3,0.16875,SrCl2,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,N,,,,,
0515-9,Ru0.25Re0.75,186.207,,,RuCl3,0.16875,ReCl3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,61,C,153,0.872253946,1.2545333,1.2565304,0.170853529
0515-10,Ru0.25Nb0.75,92.91,,,RuCl3,0.16875,NbCl3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,N,,,,,
0515-11,Ru0.75K0.25,39.0983,,,RuCl3,0.50625,KCl,0.16875,,,,,1,0,CH3CHCH2O,0.5,400,2,0,62,C,214,1.010408392,1.3334146,1.3452868,0.989082928
0515-12,Ru0.5K0.5,39.0983,,,RuCl3,0.3375,KCl,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,63,C,181,0.929878749,1.2781786,1.2844019,0.800639685
0515-13,Ru0.85K0.15,39.0983,,,RuCl3,0.57375,KCl,0.10125,,,,,1,0,CH3CHCH2O,0.5,400,2,0,64,C,191,0.943279362,1.2847153,1.3085731,1.021822117
0515-14,Ru1,,,,RuCl3,0.675,,,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,C,174,0.38296875,1.2847062,1.3352114,
0525-1,Ru0.5Fe0.5,55.845,,,RuCl3,0.3375,FeCl2,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,C,198,0.194523859,1.3027061,1.308972,
0525-2,Ru0.5Al0.5,26.981539,,,RuCl3,0.3375,AlCl3,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,H,,,,,
0525-3,Ru0.5Ir0.5,192.217,,,RuCl3,0.3375,IrCl3,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,H,195,0.039174577,1.3179234,1.3353854,
0525-4,Ru0.5Li0.5,6.941,,,RuCl3,0.3375,LiCl,0.3375,,,,,1,0,CH3CHCH2O,0.5,400,2,0,0525-4,H,205,1.667133274,1.3985032,1.3985032,
0525-6,Ru0.25Sc0.75,44.955912,,,RuCl3,0.16875,ScCl3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,0525-6,C,,,,,
0525-7,Ru0.75Sc0.25,44.955912,,,RuCl3,0.50625,ScCl3,0.16875,,,,,1,0,CH3CHCH2O,0.5,400,2,0,0525-7,C,200,0.539326463,1.3988087,1.3988087,0.546056279
0525-8,Ru0.25Al0.75,26.981539,,,RuCl3,0.16875,AlCl3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,0525-8,C,,0.280036341,1.597716,1.597716,
0525-9,Ru0.75Al0.25,26.981539,,,RuCl3,0.50625,AlCl3,0.16875,,,,,1,0,CH3CHCH2O,0.5,400,2,0,0525-9,C,235,0.287390293,1.3996298,1.3996298,
0609-1,Ru0.25Sr0.75,87.62,,,RuCl3,0.16875,SrCl2,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,N,,,,,
0609-2,Ru0.25Sb0.75,121.76,,,RuCl3,0.16875,SbCl3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,0,,N,,,,,
0609-3,Ru0.25Fe0.75,55.845,,,RuCl3,0.16875,FeCl3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,1,0609-3,H,393,,,,
0609-4,Ru0.25Nb0.75,92.90638,,,RuCl3,0.16875,NbCl3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
0609-5,Ru0.25Ce0.75,140.116,,,RuCl3,0.16875,Ce(NO3)3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
0609-6,Ru0.25Ce0.75,140.116,,,RuCl3,0.16875,CeCl3,0.50625,,,,,1,0,CH3CHCH2O,0.5,400,2,1,0609-6,C,NA,,,,
0616-1,Ru0.33Sr0.33Ce0.33,87.62,140.116,,RuCl3,0.225,SrCl2,0.225,Ce(NO3)3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0616-1,C,NA,,,,
0616-2,Ru0.33Er0.33Mn0.33,167.259,54.938,,RuCl3,0.225,ErCl2,0.225,Mn(NO3)2,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0616-2,C,NA,,,,
0616-3,Ru0.33Ir0.33Ag0.33,192.217,107.8682,,RuCl3,0.225,IrCl3,0.225,AgNO3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
0616-4,Ru0.33Na0.33Cr0.33,22.989769,51.996,,RuCl3,0.225,NaCl,0.225,Cr(NO3)3,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,0616-4,C,N,,1.5765191,1.5765191,
0616-5,Ru0.33Zn0.33Ti0.33,65.38,47.867,,RuCl3,0.225,ZnCl2,0.225,[(CH3)2CHO]2Ti(C5H7O2)2,0.225,,,1,0,CH3CHCH2O,0.5,400,2,1,,N,,,,,
